image_id,image_path,caption
1,C:\Users\reshm\OneDrive\Desktop\temple\Gopuram\IMG063.jpg,Carved gopuram with colorful deities.
2,C:\Users\reshm\OneDrive\Desktop\temple\Gopuram\IMG058.jpg,Carved gopuram with colorful deities.
3,C:\Users\reshm\OneDrive\Desktop\temple\Yazhi\IMG055.jpg,"A yazhi,often craved on pillars. It consist of Lion face, Horse body and power like elephant. "
4,C:\Users\reshm\OneDrive\Desktop\temple\Vehicle\IMG054.jpg,"Bala Vinayagar, Ganesha during his childhood days."
5,C:\Users\reshm\OneDrive\Desktop\temple\Vehicle\IMG053.jpg,Mushigam(Mouse) vehicle for Lord Ganesha
6,C:\Users\reshm\OneDrive\Desktop\temple\Vehicle\IMG052.jpg,Mushigam(Mouse) vehicle for Lord Ganesha
7,C:\Users\reshm\OneDrive\Desktop\temple\Vehicle\IMG051.jpg,Mushigam(Mouse) vehicle for Lord Ganesha
8,C:\Users\reshm\OneDrive\Desktop\temple\Deity\IMG050.jpg,Different types of Vel. It is a weapon for Lord Murugar
9,C:\Users\reshm\OneDrive\Desktop\temple\Deity\IMG049.jpg,it is a ceremony for Lord Murugar where every people come to see him by taking Kavadi
10,C:\Users\reshm\OneDrive\Desktop\temple\Deity\IMG048.jpg,"Lord Murugar with his two Wives (Deivanai, Valli)"
11,C:\Users\reshm\OneDrive\Desktop\temple\Deity\IMG047.jpg,"Lord Murugar with his two Wives (Deivanai, Valli) and Brother Lord Ganesha"
12,C:\Users\reshm\OneDrive\Desktop\temple\Deity\IMG046.jpg,"Lord Murugar with his two Wives (Deivanai, Valli)"
13,C:\Users\reshm\OneDrive\Desktop\temple\Vehicle\IMG045.jpg,"Peacock, vehicle for Lord Murugar. It has snake in his mouth. It depecits that snake is enemy for peacock "
14,C:\Users\reshm\OneDrive\Desktop\temple\Vehicle\IMG044.jpg,"Peacock, vehicle for Lord Murugar. It has snake in his mouth. It depecits that snake is enemy for peacock "
